date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:53:02	36954/36954	---M-Z	200	added ('OK')	text/html	etag:%22905a-5b4e7a30398ac-gzip%22	https://www.designesia.com/themes/profession/index-particle.html	C:/My%20Web%20Sites/website/www.designesia.com/themes/profession/index-particle.html	(from )
20:53:06	119/119	---MC-	200	added ('OK')	text/plain	date:Tue,%2023%20Feb%202021%2015:23:03%20GMT	https://www.designesia.com/robots.txt		(from )
20:53:09	122956/122956	---M--	200	added ('OK')	text/css	etag:%221e04c-5b4e7a192083d%22	https://www.designesia.com/themes/profession/css/bootstrap.css	C:/My%20Web%20Sites/website/www.designesia.com/themes/profession/css/bootstrap.css	(from https://www.designesia.com/themes/profession/index-particle.html)
20:53:10	72259/72259	---M--	200	added ('OK')	text/css	etag:%2211a43-5b4e7a1862165%22	https://www.designesia.com/themes/profession/css/animate.css	C:/My%20Web%20Sites/website/www.designesia.com/themes/profession/css/animate.css	(from https://www.designesia.com/themes/profession/index-particle.html)
20:53:11	7764/7764	---M--	200	added ('OK')	text/css	etag:%221e54-5b4e7a19e0e55%22	https://www.designesia.com/themes/profession/css/owl.carousel.css	C:/My%20Web%20Sites/website/www.designesia.com/themes/profession/css/owl.carousel.css	(from https://www.designesia.com/themes/profession/index-particle.html)
20:53:12	7883/7883	---M--	200	added ('OK')	text/css	etag:%221ecb-5b4e7a192e2fd%22	https://www.designesia.com/themes/profession/css/magnific-popup.css	C:/My%20Web%20Sites/website/www.designesia.com/themes/profession/css/magnific-popup.css	(from https://www.designesia.com/themes/profession/index-particle.html)
20:53:15	136779/136779	---M--	200	added ('OK')	text/css	etag:%222164b-5b4e7a1e39308%22	https://www.designesia.com/themes/profession/css/style.css	C:/My%20Web%20Sites/website/www.designesia.com/themes/profession/css/style.css	(from https://www.designesia.com/themes/profession/index-particle.html)
20:53:16	2993/2993	---M--	200	added ('OK')	text/css	etag:%22bb1-5b4e7a1798ead%22	https://www.designesia.com/themes/profession/css/bg.css	C:/My%20Web%20Sites/website/www.designesia.com/themes/profession/css/bg.css	(from https://www.designesia.com/themes/profession/index-particle.html)
20:53:16	6784/6784	---M--	200	added ('OK')	text/css	etag:%221a80-5b4e7a1e79a45%22	https://www.designesia.com/themes/profession/css/colors/scheme-1.css	C:/My%20Web%20Sites/website/www.designesia.com/themes/profession/css/colors/scheme-1.css	(from https://www.designesia.com/themes/profession/index-particle.html)
20:53:17	5167/5167	---M--	200	added ('OK')	image/png	etag:%22142f-58e9190e22d5c%22	https://www.designesia.com/themes/profession/images/logo-light.png	C:/My%20Web%20Sites/website/www.designesia.com/themes/profession/images/logo-light.png	(from https://www.designesia.com/themes/profession/index-particle.html)
20:53:18	5171/5171	---M--	200	added ('OK')	image/png	etag:%221433-58e9190d1e186%22	https://www.designesia.com/themes/profession/images/logo-dark.png	C:/My%20Web%20Sites/website/www.designesia.com/themes/profession/images/logo-dark.png	(from https://www.designesia.com/themes/profession/index-particle.html)
20:53:19	81817/81817	---M--	200	added ('OK')	image/jpeg	etag:%2213f99-58e9196951608%22	https://www.designesia.com/themes/profession/images/portfolio/pf%20(1).jpg	C:/My%20Web%20Sites/website/www.designesia.com/themes/profession/images/portfolio/pf%20(1).jpg	(from https://www.designesia.com/themes/profession/index-particle.html)
20:53:20	46844/46844	---M--	200	added ('OK')	image/jpeg	etag:%22b6fc-58e91969479c8%22	https://www.designesia.com/themes/profession/images/portfolio/pf%20(2).jpg	C:/My%20Web%20Sites/website/www.designesia.com/themes/profession/images/portfolio/pf%20(2).jpg	(from https://www.designesia.com/themes/profession/index-particle.html)
20:53:23	282342/282342	---M--	200	added ('OK')	image/jpeg	etag:%2244ee6-58e9196b37b34%22	https://www.designesia.com/themes/profession/images/portfolio/pf%20(3).jpg	C:/My%20Web%20Sites/website/www.designesia.com/themes/profession/images/portfolio/pf%20(3).jpg	(from https://www.designesia.com/themes/profession/index-particle.html)
20:53:23	65311/65311	---M--	200	added ('OK')	image/jpeg	etag:%22ff1f-58e9196ab3dd9%22	https://www.designesia.com/themes/profession/images/portfolio/pf%20(4).jpg	C:/My%20Web%20Sites/website/www.designesia.com/themes/profession/images/portfolio/pf%20(4).jpg	(from https://www.designesia.com/themes/profession/index-particle.html)
20:53:25	167141/167141	---M--	200	added ('OK')	image/jpeg	etag:%2228ce5-58e9196c618c8%22	https://www.designesia.com/themes/profession/images/portfolio/pf%20(5).jpg	C:/My%20Web%20Sites/website/www.designesia.com/themes/profession/images/portfolio/pf%20(5).jpg	(from https://www.designesia.com/themes/profession/index-particle.html)
20:53:26	56137/56137	---M--	200	added ('OK')	image/jpeg	etag:%22db49-58e9196cb3945%22	https://www.designesia.com/themes/profession/images/portfolio/pf%20(6).jpg	C:/My%20Web%20Sites/website/www.designesia.com/themes/profession/images/portfolio/pf%20(6).jpg	(from https://www.designesia.com/themes/profession/index-particle.html)
